Idx	Ratio	Train	Val	Name	included
0	0.1576	11664	1172	unlabeled	23
1	0.1576	11664	1172	wall	1
2	0.1072	6046	612	building	2
3	0.0878	8265	796	sky	3
4	0.0621	9336	917	floor	20
5	0.0480	6678	641	tree	6
6	0.0450	6604	643	ceiling	22
7	0.0398	4023	408	road	18
8	0.0231	1906	199	bed 	0
9	0.0198	4688	460	windowpane	1
10	0.0183	2423	225	grass	5
11	0.0181	2874	294	cabinet	0
12	0.0166	3068	310	sidewalk	4
13	0.0160	5075	526	person	7
14	0.0151	1804	190	ground	15
15	0.0118	6666	796	door	1
16	0.0110	4269	411	table	0
17	0.0109	1691	160	mountain	8
18	0.0104	3999	441	plant	6
19	0.0104	2149	217	curtain	23
20	0.0103	3261	318	chair	0
21	0.0098	3164	306	car	12
22 	0.0074	709	75	water	17
23	0.0067	3296	315	picture	0
24 	0.0065	1191	106	sofa	0
25 	0.0061	1516	162	shelf	0
26 	0.0060	667	69	house	2
27 	0.0053	651	57	sea	17
28	0.0052	1847	224	mirror	0
29	0.0046	1158	128	rug	23
30	0.0044	480	44	field	6
31	0.0044	1172	98	armchair	0
32	0.0044	1292	184	seat	0
33	0.0033	1386	138	fence	16
34	0.0031	698	61	desk	0
35	0.0030	781	73	rock	23
36	0.0027	380	43	wardrobe	0
37	0.0026	3089	302	lamp	0
38	0.0024	404	37	bathtub	0
39	0.0024	804	99	railing	16
40	0.0023	1453	153	cushion	0
41	0.0023	411	37	base	23
42	0.0022	1440	162	box	0
43	0.0022	800	77	pillar	2
44	0.0020	2650	298	signboard	19
45	0.0019	549	46	chest	23
46	0.0019	367	36	counter	0
47	0.0018	311	30	sand	15
48	0.0018	1181	122	sink	0
49	0.0018	287	23	skyscraper	2
50	0.0018	468	38	fireplace	23
51	0.0018	402	43	refrigerator	0
52	0.0018	130	12	grandstand	23
53	0.0018	561	64	path	4
54	0.0017	880	102	stairs	9
55	0.0017	86	12	runway	15
56	0.0017	172	11	case	0
57	0.0017	198	18	pool_table	0
58	0.0017	930	109	pillow	0
59	0.0015	139	18	screen_door	1
60	0.0015	564	52	stairway	9
61	0.0015	320	26	river	17
62	0.0015	261	29	bridge	2
63	0.0014	275	22	bookcase	0
64	0.0014	335	60	blind	23
65	0.0014	792	75	coffee_table	0
66	0.0014	395	49	toilet	0
67	0.0014	1309	138	flower	6
68	0.0013	1112	113	book	0
69	0.0013	266	27	hill	8
70	0.0013	659	66	bench	10
71	0.0012	331	31	countertop	23
72	0.0012	531	56	stove	0
73	0.0012	369	36	palm	6
74	0.0012	144	9	kitchen_island	0
75	0.0011	265	29	technical_device	0
76	0.0010	324	33	swivel_chair	0
77	0.0009	304	27	boat	0
78	0.0009	170	20	bar	23
79	0.0009	68	6	arcade_machine	0
80	0.0009	65	8	hut	2
81	0.0009	248	25	bus	12
82	0.0008	492	49	towel	0
83	0.0008	2510	269	light	0
84	0.0008	440	39	truck	12
85	0.0008	147	18	tower	2
86	0.0008	583	56	chandelier	0
87	0.0007	533	61	awning	23
88	0.0007	1989	239	streetlight	11
89	0.0007	71	5	booth	2
90	0.0007	618	53	television	0
91	0.0007	135	12	airplane	23
92	0.0007	83	5	dirt_track	15
93	0.0007	178	17	apparel	23
94	0.0006	1003	104	pole	11
95	0.0006	182	12	land	15
96	0.0006	452	50	bannister	16
97	0.0006	42	6	escalator	9
98	0.0006	307	31	ottoman	0
99	0.0006	965	114	bottle	0
100	0.0006	117	13	buffet	0
101	0.0006	354	35	poster	0
102	0.0006	108	9	stage	23
103	0.0006	557	55	van	12
104	0.0006	52	4	ship	0
105	0.0005	99	5	fountain	2
106	0.0005	57	4	conveyer_belt	23
107	0.0005	292	31	canopy	2
108	0.0005	77	9	washer	0
109	0.0005	340	38	plaything	0
110	0.0005	66	3	swimming_pool	17
111	0.0005	465	49	stool	0
112	0.0005	50	4	barrel	0
113	0.0005	622	75	basket	0
114	0.0005	80	9	waterfall	23
115	0.0005	59	3	tent	2
116	0.0005	531	72	bag	0
117	0.0005	282	30	minibike	13
118	0.0005	73	7	cradle	0
119	0.0005	435	44	oven	0
120	0.0005	136	25	ball	0
121	0.0005	116	24	food	0
122	0.0004	266	31	step	9
123	0.0004	58	12	tank	0
124	0.0004	418	83	trade_name	23
125	0.0004	319	43	microwave	0
126	0.0004	1193	139	pot	0
127	0.0004	97	23	animal	14
128	0.0004	347	36	bicycle	13
129	0.0004	52	5	lake	17
130	0.0004	246	22	dishwasher	0
131	0.0004	108	13	screen	0
132	0.0004	201	30	blanket	23
133	0.0004	285	21	sculpture	23
134	0.0004	268	27	hood	0
135	0.0003	1020	108	sconce	0
136	0.0003	1282	122	vase	0
137	0.0003	528	65	traffic_light	21
138	0.0003	453	57	tray	0
139	0.0003	671	100	ashcan	23
140	0.0003	397	44	fan	0
141	0.0003	92	8	pier	4
142	0.0003	228	18	crt_screen	23
143	0.0003	570	59	plate	0
144	0.0003	217	22	monitor	0
145	0.0003	206	19	bulletin_board	0
146	0.0003	130	14	shower	0
147	0.0003	178	28	radiator	0
148	0.0002	504	57	glass	0
149	0.0002	775	96	clock	0
150	0.0002	421	56	flag	0
